Année,Code INSEE,Surface parcourue (km2)
2006,66179,0.01
2006,66190,0.02
2006,83028,2.9999999999999997e-05
2006,34237,0.0375
2006,83050,0.00019999999999999998
2006,48152,0.00025
2006,83049,0.00039999999999999996
2006,06101,0.0025
2006,06101,0.0005
2006,13098,9.999999999999999e-06
2006,24516,0.049999999999999996
2006,24480,0.02
2006,2A108,0.003
2006,13005,0.0003
2006,06073,0.003
2006,2A090,9.999999999999999e-05
2006,2A249,9.999999999999999e-05
2006,09088,0.015
2006,48051,0.00035
2006,48049,3.9999999999999996e-05
2006,2B033,0.00019999999999999998
2006,2B292,9.999999999999999e-06
2006,2B283,0.00033999999999999997
2006,83108,0.0005
2006,09167,0.01
2006,2A090,4.9999999999999996e-05
2006,09155,0.005
2006,2B281,0.002
2006,66069,0.004
2006,2A031,0.002
2006,2B205,0.330045
2006,2B049,0.005
2006,09181,0.034999999999999996
2006,09287,0.005
2006,2B058,1.9999999999999998e-05
2006,2B261,1.9999999999999998e-05
2006,2A348,0.0003
2006,2A345,0.0005
2006,2A198,0.0003
2006,09249,0.02
2006,2A198,9.999999999999999e-05
2006,2A142,4.9999999999999996e-05
2006,48155,0.01
2006,2B226,0.00039999999999999996
2006,2B315,2e-06
2006,09275,0.005
2006,2A040,0.002
2006,2B049,9.999999999999999e-05
2006,2A098,9.999999999999999e-05
2006,09325,0.049999999999999996
2006,07147,0.002
2006,16419,0.001
2006,48028,0.049999999999999996
2006,06151,0.00019999999999999998
2006,33494,0.01
2006,2A163,9.999999999999999e-06
2006,2A348,0.005
2006,11116,0.00015
2006,30269,0.0029
2006,09280,0.01
2006,2B120,0.024999999999999998
2006,83076,0.001
2006,07126,0.005
2006,33019,9.999999999999999e-05
2006,17077,0.01
2006,05070,0.06
2006,2B286,0.002
2006,2B286,0.003
2006,2B332,0.0003
2006,83018,0.02
2006,30095,0.013699999999999999
2006,2B042,0.005
2006,2B042,0.003
2006,30339,0.0053
2006,06075,0.00039999999999999996
2006,33077,0.004
2006,2B016,0.00019999999999999998
2006,07319,0.0007999999999999999
2006,2B188,0.0005
2006,2B012,0.0005
2006,2B218,0.0005
2006,83146,0.0005
2006,06151,0.001
2006,09113,0.02
2006,48116,0.015
2006,48170,0.005
2006,09012,0.049999999999999996
2006,09088,0.06999999999999999
2006,83106,0.008
2006,07024,0.0025
2006,30190,0.1018
2006,2A006,9.999999999999999e-05
2006,2A348,0.02
2006,07161,9.999999999999999e-05
2006,47176,0.02
2006,09207,0.06999999999999999
2006,2A247,0.00019999999999999998
2006,09185,0.005
2006,09032,0.01
2006,40149,0.00416
2006,09280,0.024999999999999998
2006,09249,0.015
2006,2A362,0.002
2006,09155,0.01
2006,06132,0.0005
2006,2B290,0.002
2006,2B042,0.049999999999999996
2006,2B185,0.003
2006,2B319,0.02
2006,83080,0.003
2006,06157,0.00039999999999999996
2006,2B286,0.01
2006,2B148,0.03
2006,2B343,0.0005
2006,2B292,0.001
2006,09306,0.005
2006,2B050,0.004
2006,2B050,0.01
2006,2B059,0.001
2006,83149,0.002
2006,2B213,0.0003
2006,2B364,0.010085
2006,2B201,4e-06
2006,2B309,0.00019999999999999998
2006,2B352,1e-06
2006,2B199,1.4999999999999999e-05
2006,2B173,0.002
2006,2B173,0.001
2006,2B123,0.0007999999999999999
2006,83055,0.005
2006,31083,0.015
2006,09202,0.04
2006,31015,0.02
2006,09322,0.005
2006,2B350,0.01
2006,2B286,0.008
2006,09015,0.03
2006,2B079,0.001
2006,09155,0.06
2006,2B202,0.015
2006,2B180,0.32003899999999996
2006,2B159,8e-06
2006,2B314,4.9999999999999996e-06
2006,09328,0.01
2006,2A212,4.9999999999999996e-05
2006,2A362,9.999999999999999e-06
2006,83080,9.999999999999999e-05
2006,09194,0.049999999999999996
2006,09192,0.03
2006,48016,1.9999999999999998e-05
2006,2A348,4.9999999999999996e-05
2006,33248,0.005
2006,33225,0.001
2006,01148,0.01
2006,17243,0.008
2006,26093,0.003
2006,24571,0.00039999999999999996
2006,24188,0.01
2006,33281,0.001
2006,83111,0.001
2006,26258,0.00019999999999999998
2006,2B125,0.0005
2006,2B148,1.9999999999999998e-05
2006,2B190,4.9999999999999996e-05
2006,2B034,0.006
2006,2B140,0.002
2006,2B314,0.03
2006,2B039,0.005
2006,09193,0.005
2006,13081,0.0005
2006,2B029,0.0034999999999999996
2006,11021,0.0003
2006,2B245,0.049999999999999996
2006,2B343,0.02
2006,66224,0.03
2006,11386,0.011
2006,09070,0.024999999999999998
2006,2B242,0.006999999999999999
2006,06049,0.013
2006,09185,0.005
2006,09114,0.03
2006,09114,0.015
2006,26068,0.003
2006,2B079,0.02
2006,2B143,0.001
2006,06022,0.008
2006,2B350,0.003
2006,09155,0.065
2006,09004,0.03005
2006,09004,0.045
2006,09329,0.045
2006,2B069,0.01
2006,13065,0.003
2006,34197,0.048
2006,66148,0.09999999999999999
2006,34045,0.13849999999999998
2006,34281,0.0353
2006,48135,0.0025
2006,2B012,0.0007999999999999999
2006,66190,0.04
2006,84113,0.01
2006,83080,0.0005
2006,2B199,0.003
2006,2B079,0.001
2006,2A070,0.00019999999999999998
2006,2B199,0.003
2006,04045,0.01
2006,2B199,0.002
2006,2B199,0.002
2006,83010,0.005
2006,13056,0.008
2006,83001,0.0003
2006,2B182,0.00039999999999999996
2006,11345,0.0424
2006,06144,0.00039999999999999996
2006,2B002,0.0005
2006,83134,9.999999999999999e-05
2006,07254,0.0005
2006,07134,0.0003
2006,2B148,9.999999999999999e-06
2006,07296,0.00039999999999999996
2006,2B218,0.01
2006,2B199,0.002
2006,2B176,0.031
2006,2B251,0.002
2006,2B120,0.001
2006,2B346,0.001
2006,2B059,0.09999999999999999
2006,83148,9.999999999999999e-06
2006,2B120,0.015
2006,2B046,0.001
2006,30285,0.037399999999999996
2006,06013,0.0034999999999999996
2006,83134,0.00013
2006,83124,9.999999999999999e-05
2006,06050,0.0007
2006,83138,4.9999999999999996e-05
2006,04040,0.008
2006,24394,0.01
2006,07050,0.001
2006,07003,0.001
2006,33273,1.9999999999999998e-05
2006,04076,0.015
2006,34075,0.012
2006,07199,0.001
2006,83012,0.001
2006,07016,0.003
2006,06157,0.096
2006,66150,0.06
2006,07163,0.15
2006,83051,0.02
2006,07050,0.0015
2006,46128,4.9999999999999996e-05
2006,83066,0.0007999999999999999
2006,06077,0.001
2006,30153,0.022099999999999998
2006,06130,0.0015
2006,16256,0.01
2006,48165,0.0005
2006,46316,0.02
2006,83050,0.00015
2006,46042,0.004
2006,34007,0.015
2006,04143,0.01
2006,16056,0.00019999999999999998
2006,13001,0.001
2006,83042,0.01
2006,48170,0.002
2006,01321,0.01
2006,30182,0.033299999999999996
2006,26249,0.00019999999999999998
2006,47327,0.006999999999999999
2006,09160,0.02
2006,2B188,0.004
2006,47258,0.005
2006,04217,0.049999999999999996
2006,24113,0.005
2006,24534,0.0003
2006,24281,4.9999999999999996e-05
2006,24281,9.999999999999999e-05
2006,07156,0.005
2006,17167,0.00019999999999999998
2006,16291,0.002
2006,17070,0.04
2006,48053,0.02
2006,33505,0.03
2006,33123,0.03
2006,40046,0.001
2006,01032,0.01
2006,24035,0.04
2006,83083,9.999999999999999e-05
2006,24184,0.04
2006,19186,0.02
2006,33422,0.03
2006,17240,0.01
2006,26225,0.02
2006,66233,0.01
2006,07112,0.0003
2006,46184,0.005
2006,07077,0.003
2006,56258,0.03
2006,24550,0.004
2006,07185,0.006999999999999999
2006,33416,0.006
2006,33528,0.00019999999999999998
2006,30319,0.0007999999999999999
2006,46177,0.049999999999999996
2006,56042,0.02
2006,46066,0.003
2006,83027,0.00019999999999999998
2006,46127,0.005
2006,24166,4.9999999999999996e-05
2006,07344,0.0015
2006,33296,4.9999999999999996e-05
2006,13081,4.9999999999999996e-05
2006,11212,0.0006
2006,83143,9.999999999999999e-05
2006,34075,0.01
2006,11367,0.005
2006,40230,0.00019999999999999998
2006,26249,0.0015
2006,07309,0.0015
2006,09189,0.06
2006,09189,0.03
2006,33528,0.00019999999999999998
2006,07096,0.001
2006,01109,0.01
2006,40019,0.001
2006,07292,0.003
2006,13059,0.001
2006,06141,9.999999999999999e-05
2006,04210,0.02
2006,2B059,0.002
2006,06015,0.00039999999999999996
2006,40229,0.001
2006,66119,0.001
2006,2A031,0.003
2006,11418,0.000975
2006,84026,0.0025
2006,2A040,0.003
2006,40085,0.006
2006,2A348,0.00019999999999999998
2006,2B292,0.0012
2006,2A004,9.999999999999999e-05
2006,33130,0.01
2006,40327,0.002
2006,83127,0.00015
2006,04076,0.015
2006,04111,0.001
2006,2A031,0.015
2006,2A308,0.002
2006,83016,0.006999999999999999
2006,13118,0.02
2006,33164,0.01
2006,33199,0.0006
2006,2A024,0.03
2006,83127,0.09999999999999999
2006,2B354,0.0005
2006,83027,0.00039999999999999996
2006,2A089,0.008
2006,2B059,0.049999999999999996
2006,2A031,0.0005
2006,33260,0.00039999999999999996
2006,48148,0.01
2006,2B096,4e-06
2006,2A211,0.0003
2006,13082,0.06999999999999999
2006,33012,0.002
2006,2A272,0.0003
2006,83121,4.9999999999999996e-05
2006,46158,0.01
2006,33541,2.9999999999999997e-05
2006,83066,0.002
2006,83071,0.0003
2006,33138,0.00019999999999999998
2006,07280,0.0136
2006,83121,0.00019999999999999998
2006,46201,0.002
2006,48171,0.001
2006,06071,0.00025
2006,2A048,1.9999999999999998e-05
2006,40046,1.9999999999999998e-05
2006,40058,0.002
2006,2A270,0.03
2006,06023,0.1225
2006,2B184,0.19999999999999998
2006,2A212,0.004
2006,2B073,0.001
2006,46201,0.024999999999999998
2006,33012,0.004
2006,83037,0.003
2006,07199,0.005
2006,17099,0.005
2006,2A198,0.0005
2006,83137,0.0025
2006,13072,0.0005
2006,07136,0.003
2006,11006,0.0006
2006,07087,0.002
2006,2A048,0.00025
2006,2A142,1.9999999999999998e-05
2006,83088,0.001
2006,2B152,0.01
2006,07038,0.005
2006,33449,0.002
2006,2A048,1.9999999999999998e-05
2006,2A348,0.00019999999999999998
2006,06094,0.006999999999999999
