Code INSEE,Année,Nombre incendies,Surface parcourue (km2)
01014,2007,2,0.05
01015,2007,1,0.02
01017,2015,1,0.09999999999999999
01032,2006,1,0.01
01034,2006,1,0.03
01036,2008,1,0.015
01037,2019,1,0.09999999999999999
01056,2007,1,0.015
01056,2008,2,0.02
01056,2020,1,0.049999999999999996
01068,2017,1,0.049999999999999996
01073,2015,1,0.06
01073,2016,2,0.12
01074,2006,1,0.03
01080,2007,1,0.005
01093,2006,1,0.04
01097,2008,1,0.08
01099,2007,1,0.01
01105,2006,1,0.04
01109,2006,1,0.01
01147,2007,1,0.01
01148,2006,1,0.01
01170,2020,1,0.08
01184,2017,2,0.6
01195,2012,1,0.09999999999999999
01202,2008,1,0.02
01209,2016,2,0.04
01216,2007,1,0.01
01216,2016,2,0.04
01233,2008,1,0.03
01233,2021,1,0.01
01245,2007,1,0.01
01245,2008,1,0.01
01257,2022,1,0.01
01286,2017,2,0.22999999999999998
01308,2008,1,0.02
01309,2007,1,0.005
01313,2008,1,0.01
01314,2022,1,0.03
01316,2012,1,0.03
01321,2006,1,0.01
01333,2006,1,0.04
01333,2008,1,0.015
01361,2022,1,0.06999999999999999
01362,2022,1,0.01
01368,2007,1,0.01
01371,2006,1,0.02
01378,2015,1,3.71
01378,2022,1,0.005
01380,2006,1,0.01
01383,2022,1,0.015
01384,2006,1,0.02
01384,2015,1,0.03
01393,2008,1,0.02
01401,2008,1,0.005
01419,2022,1,0.005
01444,2007,1,0.02
01454,2008,1,0.022
02154,2015,1,0.02
02203,2015,1,1.4999999999999999e-05
02259,2020,1,0.03
02305,2020,1,0.09999999999999999
02329,2015,1,0.01
02368,2020,1,0.105
02477,2020,1,0.04
02558,2015,1,0.001
02600,2015,1,0.02
02644,2019,1,0.002
02685,2015,1,0.008
02693,2022,1,0.049999999999999996
02720,2015,1,0.04
02737,2022,1,0.06
02803,2020,1,0.06999999999999999
02810,2015,1,0.003
02810,2020,1,0.01
03004,2015,1,0.28099999999999997
03006,2015,1,0.049999999999999996
03041,2015,1,0.016999999999999998
03055,2012,1,0.03
03055,2019,2,0.861
03072,2019,1,0.089
03074,2006,1,0.004
03138,2019,1,0.03
03155,2020,1,0.055
03163,2020,1,4.9999999999999996e-05
03170,2020,1,0.005
03185,2019,1,0.06
03185,2020,2,0.049999999999999996
03195,2020,1,0.02
03205,2019,1,0.0315
03217,2015,1,0.09129999999999999
03217,2020,1,0.25
03221,2012,1,0.024999999999999998
03224,2019,1,0.015
03261,2006,1,0.0065
03286,2022,1,1.9999999999999998e-05
03292,2019,1,0.014199999999999999
04001,2017,1,0.0010999999999999998
04001,2018,1,5.9999999999999995e-05
04001,2019,1,0.001
04001,2020,1,0.002
04001,2021,1,0.0025
04001,2022,2,0.000445
04004,2012,1,0.00039999999999999996
04004,2018,1,0.00045
04004,2019,5,0.528562
04004,2022,2,0.0058
04005,2015,1,0.001
04005,2016,2,0.001
04005,2019,2,0.00016999999999999999
04005,2021,1,0.0003
04006,2011,1,0.039
04006,2015,1,0.0021999999999999997
04007,2016,2,0.00039999999999999996
04008,2011,2,0.03652
04008,2017,2,0.20845
04008,2018,1,9.999999999999999e-06
04008,2019,1,0.0060999999999999995
04008,2020,1,0.0443
04009,2009,1,0.00094
04012,2020,1,0.0063
04012,2022,1,1.9999999999999998e-05
04013,2012,2,0.0059
04013,2016,2,0.0104
04013,2020,1,0.0925
04016,2022,1,0.00019999999999999998
04017,2007,1,0.04
04017,2012,1,0.001
04017,2015,1,0.0109
04018,2016,2,0.0146
04018,2017,2,0.0056
04018,2018,1,0.00010999999999999999
04018,2022,2,0.0749
04019,2011,1,0.0015
04019,2015,1,2.4999999999999998e-05
04019,2016,2,0.004
04019,2022,1,0.35
04020,2012,1,0.0012
04020,2014,1,0.0231
04020,2017,2,0.6351
04020,2019,1,0.0018
04020,2020,1,0.00047999999999999996
04021,2020,1,3.9999999999999996e-05
04022,2006,1,4.9999999999999996e-05
04022,2010,1,0.001
04022,2012,1,1.9999999999999998e-05
04022,2015,2,0.0021999999999999997
04022,2017,1,0.0062
04022,2018,1,9.999999999999999e-05
04022,2019,1,0.002
04023,2010,2,9.999999999999999e-06
04023,2012,2,0.051
04023,2013,3,0.244
04023,2015,1,9.999999999999999e-06
04023,2016,2,2.7159999999999997
04023,2017,3,0.40320999999999996
04023,2019,1,0.0167
04024,2008,1,0.001
04024,2011,1,9.999999999999999e-06
04024,2012,1,1.9999999999999998e-05
04024,2015,3,0.006319999999999999
04024,2017,4,0.216576
04024,2021,1,0.0065
04025,2020,1,0.00039999999999999996
04028,2021,1,0.0123
04030,2015,1,0.0007
04030,2019,1,0.0156
04031,2017,1,4.9e-05
04031,2022,1,0.007699999999999999
04032,2019,1,0.0208
04032,2020,1,0.002
04034,2008,1,0.015
04034,2019,1,0.00039
04034,2022,1,7e-06
04035,2006,1,0.08
04036,2008,1,0.175
04036,2016,2,0.00054
04036,2017,1,0.00013
04036,2022,1,0.0393
04039,2007,2,0.235
04039,2008,1,0.12
04039,2011,2,0.08399999999999999
04039,2012,2,0.050019999999999995
04039,2015,3,0.00223
04039,2017,4,0.057699999999999994
04039,2020,3,0.0173
04039,2021,1,0.0116
04039,2022,3,0.28942999999999997
04040,2006,1,0.008
04040,2019,1,0.0046
04040,2021,1,0.020999999999999998
04041,2020,1,0.0106
04042,2008,1,0.006
04042,2011,1,0.038
04042,2015,1,4.9999999999999996e-05
04042,2022,1,0.036899999999999995
04042,2023,1,4.9999999999999996e-05
04043,2008,1,0.21
04043,2010,1,0.002
04043,2020,1,0.019899999999999998
04045,2006,1,0.01
04045,2009,1,0.003
04045,2011,1,0.00023999999999999998
04045,2015,1,0.00037999999999999997
04045,2017,1,0.0033
04045,2019,1,0.0797
04045,2022,1,0.0009
04046,2016,2,1.9999999999999998e-05
04046,2018,1,0.0009
04046,2023,1,0.005154
04047,2016,2,0.0018
04047,2018,1,0.02
04049,2006,2,0.06199999999999999
04049,2009,1,0.075
04049,2010,1,0.00069
04049,2012,1,0.002
04049,2014,1,0.00026
04049,2015,2,0.00010099999999999999
04049,2017,2,0.00026000000000000003
04049,2018,2,0.01684
04049,2019,1,4.9999999999999996e-05
04049,2020,1,3.1e-05
04049,2023,1,0.0092
04050,2016,2,0.00039999999999999996
04050,2020,1,1.8999999999999998e-05
04051,2012,1,0.0146
04051,2017,1,0.0287
04051,2022,1,0.0063999999999999994
04053,2013,1,0.00047
04053,2016,2,0.0007
04053,2018,1,0.0127
04053,2020,1,9.999999999999999e-06
04053,2022,1,5.9999999999999995e-05
04054,2007,1,0.00019999999999999998
04054,2011,1,0.0018
04055,2015,1,0.0477
04057,2017,2,0.006
04057,2019,2,1.9999999999999998e-05
04058,2012,1,0.0014
04059,2011,1,0.002
04059,2019,1,1.9999999999999998e-05
04061,2007,1,0.04
04061,2010,1,0.00019999999999999998
04061,2015,1,0.0005
04061,2022,1,0.10569999999999999
04062,2012,1,0.00015
04063,2010,1,0.001
04063,2011,1,0.0007
04063,2017,1,0.0014
04063,2018,1,0.0028
04063,2019,1,0.00015
04063,2023,1,0.005399999999999999
04065,2006,1,0.01
04065,2010,1,0.00031999999999999997
04065,2015,1,7e-06
04065,2017,1,0.044199999999999996
04066,2009,1,0.023
04068,2007,1,0.0015
04068,2016,2,0.00017999999999999998
04068,2017,1,0.0007
04068,2020,1,0.0021
04068,2023,1,9.999999999999999e-06
04069,2019,1,0.00019999999999999998
04069,2023,1,0.0048
04070,2006,1,0.0006
04070,2009,1,0.00019999999999999998
04070,2010,2,0.0026
04070,2011,1,0.0010999999999999998
04070,2012,2,0.08429999999999999
04070,2013,3,0.0005049999999999999
04070,2014,1,0.00010999999999999999
04070,2015,1,0.0006
04070,2016,2,0.001
04070,2017,10,0.175514
04070,2018,1,0.0005
04070,2019,3,0.003263
04070,2020,6,0.08389999999999999
04070,2021,3,0.0411
04070,2022,1,0.0043
04072,2009,2,7.999999999999999e-05
04072,2020,1,0.0117
04073,2015,1,0.0072
04074,2019,1,0.09899999999999999
04075,2008,3,0.20299999999999999
04075,2011,1,0.00062
04075,2023,1,0.000909
04076,2006,2,0.03
04076,2009,1,0.024
04076,2014,1,0.0109
04076,2016,2,0.0136
04076,2017,1,0.02
04076,2019,2,1.1999999999999999e-05
04076,2023,2,0.0336
04077,2013,1,0.0171
04077,2017,1,0.030299999999999997
04077,2018,1,0.00033999999999999997
04077,2019,1,0.000212
04077,2020,1,1.4999999999999999e-05
04079,2009,1,0.00015
04079,2015,1,0.01
04079,2016,2,3.9999999999999996e-05
04081,2009,1,9.999999999999999e-05
04081,2011,1,0.003
04081,2014,1,0.00041999999999999996
04081,2016,2,0.0007
04081,2017,2,0.00765
04081,2018,2,0.00016399999999999997
04081,2019,2,0.0086
04081,2020,1,0.0025
04081,2022,1,0.0019
04081,2023,1,0.0007
04084,2009,1,0.0047
04084,2012,1,1.9999999999999998e-05
04084,2015,1,0.005699999999999999
04084,2020,1,0.0103
04086,2009,1,9.999999999999999e-06
04086,2022,1,0.09699999999999999
04087,2011,1,3.9999999999999996e-05
04087,2014,1,4.1e-05
04087,2017,1,0.00021999999999999998
04087,2020,1,7e-05
04088,2011,1,0.00028
04088,2013,1,2e-06
04088,2014,1,0.0033
04088,2016,2,0.00023999999999999998
04088,2017,4,0.0029
04088,2020,2,0.00099
04088,2022,1,0.01
